PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=649 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=667 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=674 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=690 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=701 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=731 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=749 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=783 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=817 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=820 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=577 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=430 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=446 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=460 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=481 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=506 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=514 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=530 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=546 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=564 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=566 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=560 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=573 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=582 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=590 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=599 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=609 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=620 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=633 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=639 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=648 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=655 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=657 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=665 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=672 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=681 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=682 ms
